MPSIS:;MPT:;PI:;SSP LABY:;SSP PROJEKTY:;INTER-AS NETWORKS:;ED:;RUTING:;NAZWISKO:
Pon. 11:20-12:50;Pon. 8:00-9:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 9:40-11:10;Pon. 17:15-20:00;Sr. 14:40-16:10;Sr. 17:40-20:40;JAN1 KOWALSKI1
Pon. 11:20-12:50;Sr. 16:20-17:50;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 9:40-11:10;Pon. 17:15-20:00;Sr. 14:40-16:10;;JAN2 KOWALSKI2
Pon. 9:40-11:10;Sr. 18:00-19:30;Pt. 15:15-16:45;Pt. 16:45-18:15;Czw. 11:20-12:50;Pon. 17:16-20:00;Sr. 11:20-12:50;;JAN3 KOWALSKI3
Pon. 11:20-12:50;Pon. 8:00-9:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 9:40-11:10;;Sr. 13:00-14:30;Sr. 14:40-17:40;JAN4 KOWALSKI4
Pon. 11:20-12:50;Sr. 16:20-17:50;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 11:20-12:50;;Sr. 14:40-16:10;;JAN5 KOWALSKI5
Pon. 9:40-11:10;Sr. 18:00-19:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 11:20-12:50;;;Sr. 14:40-17:40;JAN6 KOWALSKI6
Pon. 9:40-11:10;Pon. 8:00-9:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 9:40-11:10;Pon. 17:15-20:00;Sr. 14:40-16:10;Sr. 14:40-17:40;JAN7 KOWALSKI7
Pon. 11:20-12:50;Sr. 18:00-19:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 9:40-11:10;;Sr. 13:00-14:30;Sr. 14:40-17:40;JAN8 KOWALSKI8
Pon. 11:20-12:50;Pon. 8:00-9:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 9:40-11:10;;Sr. 11:20-12:50;;JAN9 KOWALSKI9
Pon. 9:40-11:10;Pon. 8:00-9:30;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 11:20-12:50;;Sr. 14:40-16:10;;JAN10 KOWALSKI10
Pon. 11:20-12:50;Sr. 16:20-17:50;Pt. 9:40-11:10;Pt. 11:20-12:50;Czw. 11:20-12:50;;Sr. 11:20-12:50;;JAN11 KOWALSKI11
Pon. 11:20-12:50;Sr. 18:00-19:30;Pt. 11:20-12:50;Pt. 13:00-14:30;Czw. 9:40-11:10;;;Sr. 14:40-17:40;JAN12 KOWALSKI12
